Year,Total_Fuel_Mt,CO2_Mt_state,TF,CO2_TONS_g2g,NB_FLIGHTS_g2g,NOX_KG_g2g,SOX_KG_g2g,CO2_per_flight_kg_avg,CO2_Mt_calc,NB_FLIGHTS_g2g_full,CO2_seg_business,CO2_seg_cargo,CO2_seg_lowcost,CO2_seg_mainline,CO2_seg_other,CO2_seg_regional,CO2_phase_climb,CO2_phase_cruise,CO2_phase_descent,CO2_phase_taxi-in,CO2_phase_taxi-out
1990,22.60703618604651,,,,,,,,71.2121639860465,,,,,,,,,,,,
1991,22.050995627906975,,,,,,,,69.46063622790697,,,,,,,,,,,,
1992,23.298806744186045,,,,,,,,73.39124124418603,,,,,,,,,,,,
1993,24.054034813953486,,,,,,,,75.77020966395348,,,,,,,,,,,,
1994,25.042142860465113,,,,,,,,78.8827500104651,,,,,,,,,,,,
1995,26.105701697674423,,,,,,,,82.23296034767444,,,,,,,,,,,,
1996,27.17596262790698,,,,,,,,85.60428227790699,,,,,,,,,,,,
1997,28.505274302325585,,,,,,,,89.79161405232558,,,,,,,,,,,,
1998,29.989790790697672,,,,,,,,94.46784099069767,,,,,,,,,,,,
1999,32.037534046511624,,,,,,,,100.91823224651161,,,,,,,,,,,,
2000,33.38700837209302,,,,,,,,105.16907637209302,,,,,,,,,,,,
2001,32.607158744186044,,,,,,,,102.71255004418603,,,,,,,,,,,,
2002,31.798488116279064,,,,,,,,100.16523756627905,,,,,,,,,,,,
2003,32.34996302325582,,,,,,,,101.90238352325582,,,,,,,,,,,,
2004,34.46395795348837,,,,,,,,108.56146755348836,,,,,,,,,,,,
2005,36.01767539534884,,,,,,,,113.45567749534884,,,,,,,,,,,,
2006,37.685165651162784,,,,,,,,118.70827180116277,,,,,,,,,,,,
2007,39.33960618604651,,,,,,,,123.9197594860465,,,,,,,,,,,,
2008,39.76890793023256,,,,,,,,125.27205998023256,,,,,,,,,,,,
2009,36.35673939534883,,,,,,,,114.52372909534881,,,,,,,,,,,,
2010,36.77022125581395,112.891825037,6033208.0,,,,,,115.82619695581394,,,,,,,,,,,,
2011,38.04031606976744,117.617215671,6213612.0,,,,,,119.82699561976744,,,,,,,,,,,,
2012,37.16507758139535,112.793098485,5946172.0,,,,,,117.06999438139536,,,,,,,,,,,,
2013,36.949792139534885,111.703110566,5750751.0,,,,,,116.39184523953489,,,,,,,,,,,,
2014,37.37514518604651,115.512674675,5836750.0,,,,,,117.7317073360465,,,,,,,,,,,,
2015,38.93122025581395,118.387461225,5945841.0,,,,,,122.63334380581394,,,,,,,,,,,,
2016,40.86024216279069,124.177220185,6131933.0,,,,,,128.70976281279067,,,,,,,,,,,,
2017,43.77343260465116,130.73700731,6371405.0,,,,,,137.88631270465115,,,,,,,,,,,,
