Year,Total_Fuel_Mt
1990,22.60703618604651
1991,22.050995627906975
1992,23.298806744186045
1993,24.054034813953486
1994,25.042142860465113
1995,26.105701697674423
1996,27.17596262790698
1997,28.505274302325585
1998,29.989790790697672
1999,32.037534046511624
2000,33.38700837209302
2001,32.607158744186044
2002,31.798488116279064
2003,32.34996302325582
2004,34.46395795348837
2005,36.01767539534884
2006,37.685165651162784
2007,39.33960618604651
2008,39.76890793023256
2009,36.35673939534883
2010,36.77022125581395
2011,38.04031606976744
2012,37.16507758139535
2013,36.949792139534885
2014,37.37514518604651
2015,38.93122025581395
2016,40.86024216279069
2017,43.77343260465116
2018,46.03432332558139
2019,47.02325499999999
2020,20.51399195348837
2021,25.125298813953485
2022,39.526779209302326
